Date,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years,CPI
1977-05-01,38707.47,0.62,145.9,120.8,4006,13579,0.103,0.612676188,0.722222222,0.481218274,0.484029484,0.754708717,0.562780527,,60.2
1977-06-01,39000.34,0.62,144.8,125.6,4006,13579,0.106,0.624878083,0.722222222,0.470050761,0.542997543,0.754708717,0.562780527,,60.5
1977-07-01,39402.25,0.62,145.9,132,4006,13579,0.105,0.641622931,0.722222222,0.481218274,0.621621622,0.754708717,0.562780527,,60.8
1977-08-01,39801.62,0.62,146.9,130.2,4006,13579,0.109,0.658261954,0.722222222,0.491370558,0.5995086,0.754708717,0.562780527,,61.1
1977-09-01,40322.71,0.62,146.7,130.7,4006,13579,0.111,0.679972219,0.722222222,0.489340102,0.605651106,0.754708717,0.562780527,,61.3
1977-10-01,40829.85,0.62,149.4,126.8,4006,13579,0.11,0.701101283,0.722222222,0.516751269,0.557739558,0.754708717,0.562780527,,61.6
1977-11-01,41252.04,0.62,149.9,127.4,4006,13579,0.112,0.71869106,0.722222222,0.521827411,0.565110565,0.754708717,0.562780527,,62
1977-12-01,41624.79,0.62,153.1,130.5,4006,13579,0.114,0.734221009,0.722222222,0.554314721,0.603194103,0.754708717,0.562780527,,62.3
1978-01-01,42044.45,0.63,156.8,133.8,4310,14943,0.119,0.751705378,0.75,0.591878173,0.643734644,0.887866842,0.719760617,,62.7
1978-02-01,42516.09,0.63,159,138,4310,14943,0.111,0.771355399,0.75,0.614213198,0.695331695,0.887866842,0.719760617,,63
1978-03-01,43108.18,0.63,164.2,139.2,4310,14943,0.11,0.79602375,0.75,0.667005076,0.71007371,0.887866842,0.719760617,,63.4
1978-04-01,43673.64,0.63,173,141.6,4310,14943,0.108,0.81958261,0.75,0.756345178,0.73955774,0.887866842,0.719760617,,63.9
1978-05-01,44273.33,0.63,182.7,141.4,4310,14943,0.103,0.844567601,0.75,0.854822335,0.737100737,0.887866842,0.719760617,,64.5
1978-06-01,44940.22,0.63,191.9,144.2,4310,14943,0.1,0.872352357,0.75,0.94822335,0.771498771,0.887866842,0.719760617,,65
1978-07-01,45572.88,0.63,188.3,144.2,4310,14943,0.109,0.898710983,0.75,0.911675127,0.771498771,0.887866842,0.719760617,,65.5
